method,arm,n_targets,ties_skipped,pct_math_gt_words_All,pct_Algebra,pct_Calculus and Analysis,pct_Combinatorics,pct_Geometry,pct_Number Theory,mean_pr_full,mean_pr_math,mean_pr_text
inf-x-retriever,p1,969,8,51.51,61.9,72.63,40.51,44.85,43.9,0.8541,0.8422,0.8418
inf-x-retriever,p2,969,4,52.85,68.03,89.39,41.03,35.53,40.49,0.8568,0.8422,0.8371
inf-x-retriever,p3,969,4,49.02,63.95,84.36,33.33,32.14,40.32,0.8617,0.8406,0.8444
jhu-clsp/rank1-0.5b,p0,969,0,45.1,42.18,23.89,60.51,55.56,41.77,0.1661,0.2321,0.315
jhu-clsp/rank1-0.5b,p1,969,0,26.32,30.61,50.56,28.72,11.62,16.06,0.1257,0.0336,0.1662
jhu-clsp/rank1-0.5b,p2,969,0,28.17,29.93,52.78,29.23,15.15,18.88,0.1045,0.0263,0.1322
jhu-clsp/rank1-0.5b,p3,969,0,41.18,51.7,48.33,44.1,33.33,33.73,0.0365,0.007,0.0323
google/gemini-embedding-001,p0,969,0,40.35,58.5,87.22,33.33,18.18,18.88,0.7178,0.6968,0.706
google/gemini-embedding-001,p1,969,0,52.73,79.59,95.56,37.95,31.82,34.14,0.7473,0.7187,0.716
google/gemini-embedding-001,p2,969,0,53.15,78.91,96.67,35.9,30.81,37.75,0.7417,0.7119,0.7064
google/gemini-embedding-001,p3,969,0,50.26,78.23,95.0,35.38,30.3,28.92,0.7507,0.7156,0.7182
qwen3-reranker-8b,p0,969,0,39.53,44.9,70.0,41.03,20.71,28.11,0.4625,0.3175,0.4273
qwen3-reranker-8b,p1,969,0,48.81,62.59,71.11,40.0,28.79,47.39,0.4762,0.3131,0.3295
qwen3-reranker-8b,p2,969,0,39.32,42.86,60.56,38.46,21.72,36.55,0.3307,0.1848,0.2568
qwen3-reranker-8b,p3,969,0,42.11,57.82,71.67,37.95,19.19,32.93,0.5007,0.2762,0.3662
diver-grouprank-32b,p0,969,23,36.36,26.21,20.79,37.89,44.04,46.67,0.6197,0.5997,0.669
diver-grouprank-32b,p1,969,28,37.73,21.23,22.47,51.32,51.87,37.34,0.7178,0.7247,0.7644
diver-grouprank-32b,p2,969,34,42.57,26.95,28.74,56.38,55.9,40.08,0.7034,0.7345,0.7568
diver-grouprank-32b,p3,969,17,32.35,24.14,16.95,33.33,38.78,42.56,0.6112,0.5898,0.683
rader-reranker-7b,p0,969,0,27.14,14.97,6.11,50.26,32.83,26.91,-9.2797,-9.163,-6.8565
rader-reranker-7b,p1,969,0,27.66,14.97,11.67,49.74,29.29,28.11,-7.3047,-7.4043,-5.9467
rader-reranker-7b,p2,969,0,33.13,18.37,14.44,54.36,39.39,33.73,-7.6307,-7.4791,-6.198
rader-reranker-7b,p3,969,0,29.41,19.73,9.44,50.77,37.88,26.1,-8.9127,-8.7935,-7.0289
jhu-clsp/rank1-7b,p0,969,0,20.54,12.93,4.44,29.23,29.29,22.89,0.2422,0.2708,0.6295
jhu-clsp/rank1-7b,p1,969,0,34.57,24.49,8.89,46.15,50.0,37.75,0.427,0.6161,0.7278
jhu-clsp/rank1-7b,p2,969,0,36.12,25.85,12.22,38.46,53.03,44.18,0.4491,0.6561,0.7311
jhu-clsp/rank1-7b,p3,969,0,22.81,17.01,7.78,27.18,31.82,26.51,0.2384,0.2927,0.6291
jhu-clsp/rank1-32b,p0,969,0,16.2,6.8,5.56,22.05,27.78,15.66,0.3536,0.2987,0.7272
jhu-clsp/rank1-32b,p1,969,0,31.58,24.49,18.89,32.31,37.37,39.76,0.672,0.7342,0.8482
jhu-clsp/rank1-32b,p2,969,0,33.54,18.37,11.67,34.36,47.98,46.18,0.6292,0.7376,0.8303
jhu-clsp/rank1-32b,p3,969,0,17.65,9.52,4.44,21.54,27.27,21.29,0.347,0.2845,0.7121
